temp_c,pressure_bar,b_micro_per_c,source_page
27.0,200.0,261.630000,59
28.0,200.0,269.670000,59
29.0,200.0,277.590000,59
30.0,200.0,285.370000,59
1.0,210.0,-27.020000,56
2.0,210.0,-11.090000,56
3.0,210.0,4.250000,56
4.0,210.0,19.040000,56
5.0,210.0,33.310000,56
6.0,210.0,47.100000,56
7.0,210.0,60.430000,56
8.0,210.0,73.340000,56
9.0,210.0,85.840000,57
10.0,210.0,97.950000,57
11.0,210.0,109.710000,57
12.0,210.0,121.130000,57
13.0,210.0,132.240000,57
14.0,210.0,143.030000,57
15.0,210.0,153.550000,57
16.0,210.0,163.800000,58
17.0,210.0,173.800000,58
18.0,210.0,183.550000,58
19.0,210.0,193.090000,58
20.0,210.0,202.400000,58
21.0,210.0,211.530000,58
22.0,210.0,220.460000,58
23.0,210.0,229.200000,58
24.0,210.0,237.770000,59
25.0,210.0,246.180000,59
26.0,210.0,254.450000,59
27.0,210.0,262.500000,59
28.0,210.0,270.540000,59
29.0,210.0,278.390000,59
30.0,210.0,286.110000,59
1.0,220.0,-23.630000,56
2.0,220.0,-7.820000,56
3.0,220.0,7.400000,56
4.0,220.0,22.060000,56
5.0,220.0,36.220000,56
6.0,220.0,49.900000,56
7.0,220.0,63.120000,56
8.0,220.0,75.900000,56
9.0,220.0,88.300000,57
10.0,220.0,100.310000,57
11.0,220.0,111.970000,57
12.0,220.0,123.290000,57
13.0,220.0,134.290000,57
14.0,220.0,144.990000,57
15.0,220.0,155.420000,57
16.0,220.0,165.580000,58
17.0,220.0,175.430000,58
18.0,220.0,185.160000,58
19.0,220.0,194.620000,58
20.0,220.0,203.850000,58
21.0,220.0,212.890000,58
22.0,220.0,221.740000,58
23.0,220.0,230.410000,58
24.0,220.0,238.910000,59
25.0,220.0,247.260000,59
26.0,220.0,255.450000,59
27.0,220.0,263.490000,59
28.0,220.0,271.400000,59
29.0,220.0,279.190000,59
30.0,220.0,286.850000,59
1.0,230.0,-20.240000,56
2.0,230.0,-4.560000,56
3.0,230.0,10.540000,56
4.0,230.0,25.080000,56
5.0,230.0,39.130000,56
6.0,230.0,52.690000,56
7.0,230.0,65.800000,56
8.0,230.0,78.480000,56
9.0,230.0,90.670000,57
10.0,230.0,102.670000,57
11.0,230.0,114.230000,57
12.0,230.0,125.450000,57
13.0,230.0,136.360000,57
14.0,230.0,146.960000,57
15.0,230.0,157.300000,57
16.0,230.0,167.360000,58
17.0,230.0,177.190000,58
18.0,230.0,186.780000,58
19.0,230.0,196.140000,58
20.0,230.0,205.300000,58
21.0,230.0,214.260000,58
22.0,230.0,223.040000,58
23.0,230.0,231.630000,58
24.0,230.0,240.060000,59
25.0,230.0,248.330000,59
26.0,230.0,256.460000,59
27.0,230.0,264.430000,59
28.0,230.0,272.280000,59
29.0,230.0,280.000000,59
30.0,230.0,287.590000,59
1.0,240.0,-16.870000,56
2.0,240.0,-1.300000,56
3.0,240.0,13.670000,56
4.0,240.0,28.100000,56
5.0,240.0,42.030000,56
6.0,240.0,55.480000,56
7.0,240.0,68.480000,56
8.0,240.0,81.050000,56
9.0,240.0,93.220000,57
10.0,240.0,105.030000,57
11.0,240.0,116.480000,57
12.0,240.0,127.600000,57
13.0,240.0,138.420000,57
14.0,240.0,148.930000,57
15.0,240.0,159.180000,57
16.0,240.0,169.160000,58
17.0,240.0,178.890000,58
18.0,240.0,188.390000,58
19.0,240.0,197.680000,58
20.0,240.0,206.750000,58
21.0,240.0,215.630000,58
22.0,240.0,224.330000,58
23.0,240.0,232.850000,58
24.0,240.0,241.210000,59
25.0,240.0,249.410000,59
26.0,240.0,257.460000,59
27.0,240.0,265.370000,59
28.0,240.0,273.160000,59
29.0,240.0,280.820000,59
30.0,240.0,288.350000,59
1.0,250.0,-13.580000,56
2.0,250.0,1.940000,56
3.0,250.0,16.790000,56
4.0,250.0,31.110000,56
5.0,250.0,44.920000,56
6.0,250.0,58.260000,56
7.0,250.0,71.150000,56
8.0,250.0,83.610000,56
9.0,250.0,95.690000,57
10.0,250.0,107.390000,57
